position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
3400,Taylor Swift ,Blank Space,28,0,82,0,357339,6772902,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
3411,SALES ,Pope Is a Rockstar,26,0,96,0,351475,6723372,Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,0,90,E,Minor,73,31,45,85,24,11,3,https://i.scdn.co/image/ab67616d0000b2731138eea74b6d7e06289bedaa
3412,Kendrick Lamar ,Auntie Diaries,9,0,14,0,2118488,6720794,Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,1,0,4,0,0,78,G,Major,43,60,38,76,1,48,38,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f
3430,Miley Cyrus ,Angels Like You,21,0,48,0,489423,6655190,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
3431,Kendrick Lamar ,Mirror,11,0,18,0,1764818,6650338,Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,2,0,4,0,0,92,E,Minor,66,29,65,23,0,8,7,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f
3454,Rosa Walton ,I Really Want to Stay at Your House,23,0,71,0,330238,6538766,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,,125,D#,Minor,49,13,74,0,0,9,4,https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb
3573,Bad Bunny ,A Tu Merced,15,0,39,0,679037,5918004,A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,,Major,86,89,79,17,0,11,6,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0
3584,The Weeknd ,Starry Eyes,12,0,12,0,1204379,5839614,Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d
3588,Ed Sheeran ,Merry Christmas,14,0,59,0,853346,5828241,Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72,90,141,0,0,114,,Major,59,60,94,24,0,10,4,https://i.scdn.co/image/ab67616d0000b273d8db7e7b7d4c1e90cd18ca3a
3605,Bad Bunny ,La Zona,14,0,29,0,775612,5774822,La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,C#,Minor,76,81,80,20,0,25,4,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0
3774,Halsey ,So Good,14,0,21,0,700448,5096204,So Good,Halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4,https://i.scdn.co/image/ab67616d0000b27339e6616a499bc092f469cae0
3812,Selena Gomez ,My Mind & Me,14,0,61,0,597692,4982250,My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,0,144,A,Major,60,24,39,57,0,8,3,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0
3908,Coldplay ,Viva La Vida,21,0,60,0,268093,4610225,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
3936,Rauw Alejandro ,LOKERA,18,0,155,0,275356,4514711,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,Not Found
3952,Linkin Park ,Numb,15,0,13,0,793797,4430537,,,,,,,,,,,,,,,,,,,,,,,,,
3982,SiM ,The Rumbling (TV Size),17,0,91,0,309730,4335564,The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,0,145,G#,Major,41,65,88,0,0,26,5,https://i.scdn.co/image/ab67616d0000b2735d2f378be5d973ad504456d7
4083,The Weeknd ,A Tale By Quincy,8,0,15,0,1136781,4034332,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d
